Long,Lat,Stn_Name,Clim_ID,Prov_or_Ter,Tm,DwTm,D,Tx,DwTx,Tn,DwTn,S,DwS,S%N,P,DwP,P%N,S_G,Pd,BS,DwBS,BS%,HDD,CDD,year
-110.467,49.117,ONEFOUR CDA,3044923,AB,18.4,0.0,,36.7,0.0,3.3,0.0,,,,32.3,0.0,,,7.0,,,,36.5,49.4,2019
-111.126,49.225,PAKOWKI LAKE AGCM,3045000,AB,18.3,1.0,,36.0,1.0,4.1,1.0,,,,39.8,4.0,,,8.0,,,,32.1,41.4,2019
-111.025,49.029,PINHORN AGCM,3045100,AB,17.8,0.0,,34.2,0.0,5.0,0.0,,,,35.8,0.0,,,4.0,,,,42.8,37.2,2019
-112.16,49.283,WARNER AGCM,3046951,AB,17.8,0.0,,34.9,0.0,0.0,0.0,,,,17.8,6.0,,,6.0,,,,40.6,35.2,2019
-115.552,51.193,BANFF CS,3050519,AB,14.1,0.0,,28.6,0.0,-1.5,0.0,,,,88.2,0.0,,,11.0,,,,123.5,3.4,2019
-114.175,49.468,BEAVER MINES,3050602,AB,15.3,0.0,,30.3,0.0,2.3,0.0,,,,28.9,0.0,,,4.0,,,,91.4,8.2,2019
-115.067,51.083,BOW VALLEY,3050778,AB,14.4,3.0,,29.9,3.0,-1.7,3.0,,,,72.3,3.0,,,9.0,,,,104.8,3.7,2019
-114.482,49.628,CROWSNEST,3051R4R,AB,14.4,0.0,,30.1,0.0,-0.9,0.0,,,,31.8,1.0,,,5.0,,,,116.2,3.3,2019
-118.03,52.926,JASPER WARDEN,3053536,AB,13.7,0.0,,28.7,0.0,-1.3,0.0,,,,46.3,0.0,,,7.0,,,,134.5,0.6,2019
-115.035,51.028,KANANASKIS,3053600,AB,14.1,0.0,0.3,29.0,0.0,-1.0,0.0,0.0,0.0,0.0,75.8,0.0,107.0,0.0,8.0,,,,124.5,3.6,2019
-116.04,52.492,NORDEGG CS,3054843,AB,12.5,0.0,,25.9,0.0,-2.1,0.0,,,,79.2,0.0,,,13.0,,,,171.8,0.0,2019
-114.416,50.368,PEKISKO,3055119,AB,12.9,7.0,,28.2,7.0,-0.5,7.0,,,,87.5,7.0,,,7.0,,,,123.1,0.0,2019
-113.809,49.131,WATERTON PARK GATE,3056214,AB,15.4,0.0,,31.9,0.0,-1.1,0.0,,,,45.2,0.0,,,5.0,,,,88.2,8.1,2019
-115.787,54.144,WHITECOURT A,3057376,AB,13.6,0.0,,25.5,0.0,2.2,0.0,,,,,,,,,,,,139.3,1.8,2019
-115.19,50.943,NAKISKA RIDGETOP,305MGFF,AB,8.7,0.0,,19.6,0.0,-2.9,0.0,,,,,,,,,,,,288.1,0.0,2019
-113.382,54.635,ATHABASCA AGCM,3060330,AB,13.9,0.0,,27.1,0.0,1.9,0.0,,,,52.6,4.0,,,7.0,,,,133.3,5.5,2019
-112.825,54.782,ATMORE AGDM,3060406,AB,13.1,0.0,,28.5,0.0,-0.1,0.0,,,,46.9,0.0,,,6.0,,,,154.6,3.0,2019
-114.448,54.095,BARRHEAD CS,3060535,AB,14.3,0.0,,26.5,0.0,1.9,0.0,,,,9.9,17.0,,,3.0,,,,121.7,6.2,2019
-117.867,53.35,BRULE BLACK CAT,3060903,AB,13.5,9.0,0.3,26.0,8.0,0.0,7.0,0.0,6.0,,45.8,6.0,,0.0,11.0,,,,98.0,0.0,2019
-114.678,54.131,CAMPSIE AUTO,3061201,AB,14.0,0.0,,26.0,0.0,1.0,0.0,,,,29.2,0.0,,,6.0,,,,127.9,3.5,2019
-115.894,53.623,CARROT CREEK,3061350,AB,13.1,0.0,,26.0,0.0,0.1,0.0,,,,58.2,5.0,,,13.0,,,,152.8,1.0,2019
-113.95,54.317,DAPP AGDM,3061975,AB,13.2,1.0,,25.6,1.0,-0.5,1.0,,,,26.4,1.0,,,6.0,,,,146.4,1.1,2019
-116.465,53.579,EDSON,3062239,AB,12.8,0.0,,25.1,0.0,0.0,0.0,,,,67.6,0.0,,,12.0,,,,161.5,0.0,2019
-116.453,53.58,EDSON CLIMATE,3062246,AB,13.1,0.0,,25.3,0.0,1.0,0.0,,,,73.5,0.0,,,11.0,,,,151.3,0.0,2019
-114.983,53.6,ENTWISTLE,3062451,AB,14.7,0.0,-0.8,27.5,0.0,2.0,0.0,0.0,0.0,,67.8,0.0,89.0,0.0,13.0,,,,109.0,6.3,2019
-115.062,53.614,EVANSBURG2 AGCM,3062476,AB,13.3,0.0,,25.8,0.0,-0.7,0.0,,,,40.6,0.0,,,11.0,,,,146.3,1.1,2019
-114.769,54.41,FORT ASSINIBOINE AGCM,3062660,AB,13.5,0.0,,26.2,0.0,1.5,0.0,,,,47.0,1.0,,,7.0,,,,143.0,2.4,2019
-111.213,56.651,FORT MCMURRAY CS,3062696,AB,14.0,0.0,,26.3,0.0,2.9,0.0,,,,83.1,0.0,,,10.0,,,,126.7,3.4,2019
-111.223,56.653,FORT MCMURRAY A,3062697,AB,14.2,0.0,,26.3,0.0,3.4,0.0,,,,89.8,1.0,,,11.0,,,,122.6,4.0,2019
-118.447,53.795,HENDRICKSON CREEK,3063135,AB,9.4,0.0,,24.7,0.0,-4.1,0.0,,,,,,,,,,,,265.3,0.0,2019
-116.479,55.396,HIGH PRAIRIE AGDM,3063165,AB,13.6,0.0,,24.7,0.0,1.3,0.0,,,,56.2,0.0,,,11.0,,,,137.8,1.5,2019
-113.543,54.821,ISLAND LAKE SOUTH,3063600,AB,14.0,8.0,,25.9,8.0,3.1,8.0,,,,37.6,8.0,,,8.0,,,,94.7,2.8,2019
-112.981,54.563,KINIKINIK,3063640,AB,14.1,0.0,,27.6,0.0,3.4,0.0,,,,41.2,1.0,,,10.0,,,,125.7,5.6,2019
-112.024,54.769,LAC LA BICHE CLIMATE,3063686,AB,14.5,0.0,,27.9,0.0,3.5,0.0,,,,48.4,0.0,,,9.0,,,,115.4,6.6,2019
-111.559,57.041,MILDRED LAKE,3064528,AB,14.9,0.0,,26.2,0.0,5.4,0.0,,,,113.7,0.0,,,14.0,,,,104.4,7.5,2019
-113.321,54.964,PLEASANT VIEW,3065200,AB,13.4,0.0,,26.2,0.0,1.3,0.0,,,,71.4,0.0,,,8.0,,,,144.1,2.5,2019
-111.7,54.5,RICH LAKE AGDM,3065475,AB,12.7,0.0,,26.7,0.0,0.1,0.0,,,,51.5,0.0,,,8.0,,,,166.7,2.8,2019
-111.835,53.851,ISPAS,3065712,AB,14.2,1.0,,27.2,1.0,3.7,1.0,,,,19.2,1.0,,,8.0,,,,119.4,4.3,2019
-114.777,55.293,SLAVE LAKE,3065995,AB,14.0,0.0,,24.8,0.0,3.4,0.0,,,,105.9,0.0,,,12.0,,,,124.6,1.6,2019
-114.777,55.293,SLAVE LAKE RCS,3065997,AB,13.9,0.0,,24.5,0.0,3.0,0.0,,,,88.5,0.0,,,11.0,,,,129.8,1.2,2019
-113.52,54.3,TAWATINAW AGCM,3066367,AB,14.3,0.0,,26.9,0.0,2.2,0.0,,,,13.4,1.0,,,4.0,,,,121.8,5.9,2019
-115.787,54.144,WHITECOURT A,3067372,AB,,,,21.0,30.0,11.5,30.0,0.0,30.0,,25.8,30.0,,,1.0,,,,,,2019
-118.348,53.386,WILLOW CREEK 1,306GE70,AB,10.7,1.0,,25.5,1.0,-3.7,1.0,,,,41.9,1.0,,,7.0,,,,219.7,0.0,2019
-117.236,55.577,BALLATER AGCM,3070495,AB,13.5,0.0,,27.1,0.0,0.0,0.0,,,,37.6,0.0,,,10.0,,,,142.1,3.7,2019
-119.396,55.197,BEAVERLODGE RCS,3070600,AB,12.8,0.0,,24.8,0.0,2.7,0.0,,,,51.9,0.0,,,11.0,,,,161.8,0.3,2019
-117.886,56.118,BROWNVALE AGCM,3070800,AB,13.3,0.0,,26.1,0.0,0.5,0.0,,,,26.1,18.0,,,6.0,,,,149.1,4.0,2019
-117.933,56.529,CLEAR HILLS AGCM,3071661,AB,12.8,0.0,,25.6,0.0,-0.4,0.0,,,,51.6,1.0,,,9.0,,,,162.9,1.6,2019
-117.543,56.715,DEADWOOD AGCM,3071957,AB,13.6,0.0,,26.6,0.0,1.9,0.0,,,,81.4,0.0,,,10.0,,,,139.9,3.6,2019
-117.887,55.808,EAGLESHAM AGCM,3072151,AB,13.5,0.0,,25.9,0.0,0.3,0.0,,,,49.7,0.0,,,8.0,,,,141.8,3.5,2019
-110.439,58.981,EGG ISLAND,3072246,AB,15.6,7.0,,21.8,7.0,10.0,7.0,,,,,,,,,,,,59.7,2.5,2019
-118.439,56.081,FAIRVIEW AGDM,3072525,AB,13.0,0.0,,26.0,0.0,-0.3,0.0,,,,44.3,5.0,,,8.0,,,,158.0,2.8,2019
-111.117,58.767,FORT CHIPEWYAN,3072655,AB,13.8,0.0,,25.6,0.0,2.4,0.0,,,,10.1,0.0,,,3.0,,,,132.8,3.7,2019
-111.117,58.767,FORT CHIPEWYAN RCS,3072659,AB,13.9,0.0,,25.6,0.0,2.2,0.0,,,,106.9,0.0,,,13.0,,,,129.5,3.2,2019
-116.04,58.382,FORT VERMILION,3072723,AB,14.2,0.0,,29.3,0.0,1.6,0.0,,,,69.0,0.0,,,10.0,,,,126.5,9.7,2019
-118.885,55.18,GRANDE PRAIRIE A,3072921,AB,13.5,0.0,,26.1,0.0,1.4,0.0,0.0,0.0,,52.6,0.0,,,13.0,,,,142.7,3.7,2019
-117.298,57.265,HAWK HILLS AGCM,3073071,AB,13.3,0.0,,27.1,0.0,0.2,0.0,,,,47.4,0.0,,,11.0,,,,147.2,2.5,2019
-117.165,58.622,HIGH LEVEL,3073140,AB,13.2,0.0,,27.4,0.0,-1.6,0.0,,,,0.8,14.0,,,0.0,,,,155.0,6.3,2019
-117.165,58.621,HIGH LEVEL A,3073146,AB,13.4,2.0,-1.0,27.5,2.0,-1.5,2.0,0.0,2.0,,70.2,2.0,,0.0,11.0,,,,140.1,6.0,2019
-117.12,55.913,JEAN COTE AGCM,3073535,AB,13.6,0.0,,25.7,0.0,2.7,0.0,,,,56.9,1.0,,,6.0,,,,138.2,1.9,2019
-117.677,57.788,KEG RIVER AGCM,3073644,AB,13.1,0.0,,28.2,0.0,-1.1,0.0,,,,31.9,0.0,,,6.0,,,,159.4,6.0,2019
-116.343,58.172,LA CRETE AGCM,3073730,AB,14.1,0.0,,28.3,0.0,0.1,0.0,,,,47.1,0.0,,,9.0,,,,128.7,8.3,2019
-119.255,55.422,LA GLACE AGCM,3073740,AB,12.3,0.0,,26.0,0.0,-0.4,0.0,,,,66.0,0.0,,,11.0,,,,176.8,1.5,2019
-117.451,56.974,MANNING AGDM,3074190,AB,16.5,1.0,,35.2,1.0,0.7,0.0,,,,,,,,,,,,72.3,27.5,2019
-119.745,56.314,CLEARDALE AGDM,3074935,AB,13.0,0.0,,26.6,0.0,0.6,0.0,,,,83.6,0.0,,,13.0,,,,158.1,1.9,2019
-117.448,56.227,PEACE RIVER A,3075041,AB,13.1,1.0,,24.8,1.0,0.4,1.0,0.0,0.0,,60.0,0.0,,,7.0,,,,149.5,1.1,2019
-118.293,55.621,PEORIA AGDM,3075160,AB,12.8,0.0,,26.6,0.0,-1.1,0.0,,,,48.6,0.0,,,9.0,,,,161.8,1.3,2019
-115.278,56.552,RED EARTH,3075488,AB,13.1,1.0,,25.5,1.0,0.7,1.0,,,,97.0,1.0,,,11.0,,,,147.3,0.5,2019
-116.481,58.452,ROCKY LANE AGCM,3075550,AB,13.3,0.0,,28.4,0.0,-1.2,0.0,,,,46.5,0.0,,,10.0,,,,151.2,6.4,2019
-118.668,55.777,RYCROFT AGCM,3075601,AB,13.4,0.0,,27.3,0.0,-0.4,0.0,,,,41.7,0.0,,,11.0,,,,146.7,4.0,2019
-119.345,56.076,SAVANNA AGCM,3075770,AB,12.8,0.0,,25.9,0.0,0.4,0.0,,,,77.5,2.0,,,13.0,,,,164.3,2.0,2019
-111.997,58.853,SWEETGRASS LANDING,3076330,AB,,,,,,,,,,,80.7,2.0,,,15.0,,,,,,2019
-118.408,55.352,TEEPEE CREEK AGCM,3076366,AB,13.2,0.0,,26.2,0.0,-0.1,0.0,,,,43.8,1.0,,,12.0,,,,150.3,3.0,2019
-116.848,58.021,TOMPKINS LANDING AGCM,3076530,AB,13.8,0.0,,28.3,0.0,-0.4,0.0,,,,45.7,1.0,,,7.0,,,,136.8,5.8,2019
-117.199,55.098,VALLEYVIEW AGDM,3076680,AB,13.6,0.0,,26.9,0.0,1.6,0.0,,,,33.0,2.0,,,10.0,,,,140.0,2.6,2019
-113.866,58.711,GARDEN RIVER,307KPFP,AB,14.2,0.0,,30.0,0.0,1.8,0.0,,,,71.8,0.0,,,10.0,,,,123.4,6.0,2019
-110.283,54.417,COLD LAKE A,3081680,AB,14.5,0.0,-1.6,29.4,0.0,2.3,0.0,0.0,0.0,0.0,35.6,0.0,63.0,,10.0,,,,117.6,10.5,2019
-110.868,54.367,DUPRE AGCM,3081690,AB,13.2,0.0,,28.8,0.0,-0.3,0.0,,,,30.9,0.0,,,7.0,,,,153.3,5.0,2019
-104.71,50.201,BRATT'S LAKE CLIMATE,4010811,SK,16.3,1.0,,33.3,1.0,2.6,1.0,,,,78.6,1.0,,,4.0,,,,72.7,21.5,2019
-102.571,50.368,BROADVIEW,4010879,SK,15.5,0.0,-1.4,30.4,0.0,0.8,0.0,,,,56.8,0.0,91.0,,9.0,,,,89.9,13.6,2019
-105.383,50.55,BUFFALO POUND LAKE,4010984,SK,17.3,1.0,,34.0,1.0,3.0,0.0,0.0,0.0,,85.2,0.0,,0.0,9.0,,,,50.6,30.0,2019
-104.867,51.183,DUVAL,4012300,SK,16.6,0.0,-1.5,32.0,0.0,5.0,0.0,0.0,0.0,,72.0,0.0,122.0,0.0,11.0,,,,66.0,24.0,2019
-102.966,49.21,ESTEVAN A,4012403,SK,17.7,0.0,,33.4,0.0,2.8,0.0,,,,44.9,0.0,,,5.0,,,,48.3,38.0,2019
-102.967,49.217,ESTEVAN,4012410,SK,17.3,0.0,,32.1,0.0,2.4,0.0,,,,41.3,0.0,,,4.0,,,,52.6,31.8,2019
-103.65,50.55,INDIAN HEAD CDA,4013480,SK,15.8,1.0,-1.6,33.4,1.0,0.9,1.0,,,,96.0,1.0,,,9.0,,,,84.8,19.4,2019
-103.753,51.257,KELLIHER,4013660,SK,15.8,0.0,-1.2,31.0,0.0,3.0,0.0,0.0,0.0,,94.0,0.0,143.0,0.0,6.0,,,,86.0,17.6,2019
-102.733,50.2,KIPLING,4014040,SK,16.3,1.0,-0.8,30.0,1.0,3.0,1.0,0.0,1.0,,88.0,1.0,,0.0,9.0,,,,69.3,17.9,2019
-101.717,50.9,LANGENBURG,4014145,SK,16.0,11.0,-0.7,30.0,11.0,2.0,11.0,0.0,11.0,,75.0,11.0,,0.0,7.0,,,,51.9,12.6,2019
-105.25,51.417,LAST MOUNTAIN CS,4014156,SK,15.8,0.0,-1.7,32.7,0.0,-0.6,0.0,,,,58.4,0.0,114.0,,10.0,,,,90.7,23.3,2019
-104.633,52.0,LEROY,4014322,SK,15.6,0.0,-1.6,30.5,0.0,1.0,0.0,0.0,0.0,,29.6,0.0,47.0,0.0,4.0,,,,93.6,19.4,2019
-103.889,51.152,LIPTON 2,4014481,SK,15.8,9.0,-1.1,32.5,7.0,4.0,9.0,0.0,6.0,,103.4,6.0,,0.0,10.0,,,,63.4,15.6,2019
-105.538,50.332,MOOSE JAW CS,4015322,SK,16.8,0.0,,35.5,0.0,3.0,0.0,,,,86.9,0.0,,,6.0,,,,65.6,27.7,2019
-105.0,52.333,MUENSTER,4015440,SK,15.8,6.0,-1.2,30.0,6.0,2.0,6.0,0.0,6.0,,41.0,6.0,,0.0,5.0,,,,74.0,18.0,2019
-102.117,49.317,OXBOW,4015800,SK,17.0,1.0,,32.5,1.0,1.5,1.0,0.0,1.0,,79.0,1.0,,0.0,10.0,,,,56.4,25.7,2019
-103.265,51.403,PARKERVIEW,4015870,SK,13.7,3.0,-2.9,30.0,3.0,0.0,3.0,0.0,3.0,,67.0,3.0,,0.0,7.0,,,,127.0,6.0,2019
-103.983,50.567,QU'APPELLE 1,4016322,SK,17.0,0.0,-0.7,33.5,0.0,4.0,0.0,0.0,0.0,,96.0,0.0,166.0,0.0,10.0,,,,66.4,35.0,2019
-104.666,50.432,REGINA INTL A,4016566,SK,16.8,1.0,,33.8,1.0,2.6,1.0,,,,,,,,,,,,64.0,28.6,2019
-104.667,50.433,REGINA RCS,4016699,SK,16.5,1.0,,33.9,1.0,2.0,1.0,,,,95.7,1.0,,,7.0,,,,72.7,26.3,2019
-105.4,51.667,WATROUS EAST,4018642,SK,15.3,0.0,,30.2,0.0,1.7,0.0,,,,48.6,0.0,,,9.0,,,,103.3,18.1,2019
-104.183,49.817,YELLOW GRASS NORTH,4019041,SK,17.3,1.0,,35.0,1.0,2.5,1.0,,,,69.3,1.0,,,5.0,,,,52.4,29.9,2019
-102.464,51.265,YORKTON,4019073,SK,15.9,0.0,,30.9,0.0,3.9,0.0,,,,31.0,0.0,,,7.0,,,,83.7,19.6,2019
-102.462,51.265,YORKTON,4019075,SK,16.1,0.0,,31.1,0.0,3.8,0.0,,,,32.2,0.0,,,7.0,,,,79.8,21.6,2019
-104.2,51.767,WYNYARD (AUT),40190LN,SK,15.3,0.0,,29.6,0.0,2.9,0.0,,,,28.9,0.0,,,8.0,,,,100.4,15.6,2019
-103.8,49.7,WEYBURN,401HP5R,SK,17.4,0.0,,34.0,0.0,3.8,0.0,,,,64.8,0.0,,,6.0,,,,51.3,32.7,2019
-106.848,51.289,CUTBANK,401JR89,SK,,,,,,,,0.0,28.0,,32.3,26.0,,,5.0,,,,,,2019
-105.946,49.729,ASSINIBOIA AIRPORT,4020286,SK,17.1,2.0,,33.1,2.0,4.4,2.0,,,,45.5,2.0,,,4.0,,,,52.6,26.9,2019
-107.311,50.832,BEECHY,4020560,SK,17.3,0.0,-1.1,38.0,0.0,2.5,0.0,0.0,0.0,,41.2,0.0,101.0,0.0,5.0,,,,60.0,39.0,2019
-106.583,51.133,ELBOW CS,4022359,SK,16.3,0.0,,34.3,0.0,2.9,0.0,,,,35.1,0.0,,,3.0,,,,74.8,23.0,2019
-106.55,51.167,ELBOW 2 NE,4022363,SK,15.6,6.0,-1.9,33.5,6.0,3.0,6.0,0.0,6.0,,28.4,6.0,,0.0,6.0,,,,71.4,12.6,2019
-107.15,50.95,LUCKY LAKE,4024714,SK,16.4,1.0,,36.5,1.0,3.4,1.0,,,,41.7,1.0,,,3.0,,,,75.3,26.8,2019
-109.466,49.903,MAPLE CREEK,4024919,SK,17.9,1.0,,36.6,1.0,3.7,1.0,,,,48.2,1.0,,,8.0,,,,42.7,38.9,2019
-107.263,51.154,ROCK POINT,4026847,SK,16.9,0.0,-1.3,35.5,0.0,5.0,0.0,0.0,0.0,,53.8,0.0,144.0,0.0,7.0,,,,64.8,31.7,2019
-107.8,50.6,STEWART VALLEY,4027775,SK,16.4,18.0,-1.6,35.0,18.0,6.0,18.0,0.0,18.0,,16.3,18.0,,,1.0,,,,29.1,8.8,2019
-107.691,50.292,SWIFT CURRENT,4028038,SK,16.6,0.0,,35.2,0.0,4.0,0.0,,,,38.3,0.0,,,4.0,,,,70.0,28.0,2019
-107.733,50.267,SWIFT CURRENT CDA,4028060,SK,16.6,2.0,-1.5,35.2,2.0,4.6,2.0,,,,39.1,2.0,,,4.0,,,,65.8,26.5,2019
-109.501,50.909,LEADER AIRPORT,402DAF0,SK,17.3,1.0,,37.0,1.0,4.0,1.0,,,,39.8,1.0,,,6.0,,,,51.8,30.1,2019
-105.483,49.05,CORONACH SPC,40318MN,SK,16.7,0.0,-1.7,33.3,0.0,2.2,0.0,,,,28.0,0.0,89.0,,6.0,,,,60.9,20.5,2019
-109.514,49.641,CYPRESS HILLS PARK,4031999,SK,15.6,0.0,,32.4,0.0,4.8,0.0,,,,34.6,0.0,,,9.0,,,,90.6,16.0,2019
-108.989,49.438,EASTEND CYPRESS (AUT),4032322,SK,16.8,0.0,,34.5,0.0,5.2,0.0,,,,46.9,0.0,,,7.0,,,,61.2,23.2,2019
-107.024,49.099,MANKOTA,4034910,SK,17.4,1.0,-1.0,35.7,1.0,2.6,1.0,,,,38.6,1.0,,,6.0,,,,48.8,31.5,2019
-105.979,49.168,ROCKGLEN (AUT),4036844,SK,17.1,0.0,,32.9,0.0,6.2,0.0,,,,66.4,0.0,,,7.0,,,,58.0,29.5,2019
-107.586,49.058,VAL MARIE SOUTHEAST,4038412,SK,17.6,0.0,,35.8,0.0,3.4,0.0,,,,63.6,0.0,,,7.0,,,,44.3,32.0,2019
-108.407,51.294,BICKLEIGH,4040587,SK,15.5,5.0,-3.0,36.0,4.0,4.0,5.0,0.0,4.0,,53.0,4.0,,0.0,9.0,,,,66.9,2.6,2019
-109.2,53.45,BUTTE ST PIERRE,4041000,SK,13.3,0.0,-2.3,29.0,0.0,-1.5,0.0,0.0,0.0,0.0,21.5,0.0,43.0,0.0,6.0,,,,151.3,6.1,2019
-109.181,51.515,KINDERSLEY A,4043899,SK,16.1,0.0,,35.5,0.0,2.0,0.0,,,,,,,,,,,,77.5,19.2,2019
-109.181,51.515,KINDERSLEY A,4043901,SK,16.1,0.0,,35.5,0.0,2.0,0.0,0.0,3.0,,31.2,0.0,,,3.0,,,,77.5,19.2,2019
-108.256,52.772,NORTH BATTLEFORD RCS,4045607,SK,14.9,0.0,,30.5,0.0,-0.5,0.0,,,,24.2,0.0,,,4.0,,,,105.7,9.8,2019
-108.244,52.769,NORTH BATTLEFORD,4045695,SK,15.0,0.0,,30.7,0.0,-0.4,0.0,,,,25.1,0.0,,,5.0,,,,103.6,10.8,2019
-107.917,51.567,ROSETOWN EAST,4046884,SK,15.3,0.0,,32.8,0.0,1.7,0.0,,,,65.1,0.0,,,6.0,,,,95.1,12.2,2019
-108.835,52.36,SCOTT CDA,4047240,SK,14.4,0.0,-2.1,31.2,0.0,1.8,0.0,,,,18.0,0.0,39.0,,5.0,,,,118.9,7.3,2019
-107.767,52.317,SONNINGDALE,4047644,SK,14.5,6.0,,30.0,6.0,2.0,6.0,0.0,5.0,,8.6,5.0,,0.0,3.0,,,,97.4,9.1,2019
-109.405,53.131,WASECA RCS,4048521,SK,14.5,2.0,,28.7,2.0,3.7,2.0,,,,21.5,2.0,,,6.0,,,,108.9,6.1,2019
-105.783,52.85,HOEY,4053264,SK,,,,,,,,0.0,25.0,,25.9,25.0,,,4.0,,,,,,2019
-104.6,52.817,MELFORT,4055079,SK,14.9,2.0,,29.7,2.0,2.8,2.0,,,,30.7,2.0,,,7.0,,,,100.8,12.0,2019
-107.05,51.483,OUTLOOK PFRA,4055736,SK,16.0,1.0,-2.0,33.9,1.0,3.9,1.0,,,,39.8,1.0,,,5.0,,,,77.6,17.7,2019
-105.15,52.417,PILGER,4056121,SK,15.1,0.0,,28.5,0.0,2.3,0.0,,,,38.5,0.0,,,5.0,,,,102.2,13.2,2019
-105.673,53.214,PRINCE ALBERT A,4056241,SK,14.6,0.0,,28.7,0.0,1.4,0.0,0.0,0.0,,21.6,0.0,,,3.0,,,,116.2,11.0,2019
-105.677,53.21,PRINCE ALBERT GLASS FIELD,4056243,SK,15.0,0.0,,29.0,0.0,1.4,0.0,,,,25.0,0.0,,,4.0,,,,105.6,12.4,2019
-106.7,52.171,SASKATOON INTL A,4057152,SK,15.6,2.0,,33.0,2.0,1.0,2.0,,,,,,,,,,,,88.8,18.7,2019
-106.719,52.174,SASKATOON RCS,4057165,SK,15.4,0.0,,32.8,0.0,0.7,0.0,,,,20.3,0.0,,,3.0,,,,97.2,17.0,2019
-108.421,55.841,BUFFALO NARROWS (AUT),4060983,SK,14.9,1.0,,27.5,1.0,6.2,1.0,,,,104.9,1.0,,,14.0,,,,99.9,5.9,2019
-108.418,55.842,BUFFALO NARROWS A,4060988,SK,15.1,0.0,,27.6,0.0,7.1,0.0,,,,,,,,,,,,98.3,6.9,2019
-104.483,58.083,CIGAR LAKE,4061570,SK,11.6,0.0,-2.1,22.0,0.0,0.0,0.0,0.0,0.0,,103.9,0.0,134.0,0.0,19.0,,,,197.5,0.0,2019
-103.678,58.229,COLLINS BAY SK,4061620,SK,11.8,0.0,,24.9,0.0,0.3,0.0,,,,151.8,0.0,,,17.0,,,,191.2,0.5,2019
-103.7,58.183,COLLINS BAY CAMECO,4061632,SK,11.7,0.0,,25.0,0.0,0.5,0.0,0.0,0.0,,182.4,0.0,,0.0,15.0,,,,197.8,1.6,2019
-102.35,55.533,ISLAND FALLS (AUT),4063605,SK,14.5,1.0,,25.1,1.0,3.1,1.0,,,,61.6,1.0,,,10.0,,,,108.9,4.6,2019
-109.962,54.908,JIMMY LAKE AWOS,4063623,SK,15.0,20.0,,24.9,20.0,2.4,20.0,,,,24.5,20.0,,,8.0,,,,36.0,2.8,2019
-105.6,57.25,KEY LAKE,4063753,SK,12.1,0.0,,23.9,0.0,-1.5,0.0,,,,121.8,0.0,,,13.0,,,,184.3,0.9,2019
-105.618,57.256,KEY LAKE,4063757,SK,12.7,0.0,,24.2,0.0,1.2,0.0,,,,126.8,1.0,,,13.0,,,,166.0,1.0,2019
-105.27,55.146,LA RONGE RCS,4064149,SK,14.8,3.0,,25.9,3.0,3.3,3.0,,,,100.4,3.0,,,11.0,,,,96.4,6.5,2019
-105.267,55.151,LA RONGE A,4064155,SK,14.8,0.0,,26.0,0.0,1.4,0.0,0.0,0.0,,107.1,0.0,,,13.0,,,,105.8,7.4,2019
-109.138,54.02,LOON LAKE RCS,4064620,SK,13.8,1.0,,28.5,1.0,0.6,1.0,,,,23.1,1.0,,,8.0,,,,133.7,7.4,2019
-108.523,54.125,MEADOW LAKE A,4065063,SK,14.0,0.0,,29.6,0.0,0.8,0.0,,,,,,,,,,,,130.1,7.2,2019
-103.283,56.333,SOUTHEND,4067655,SK,13.6,1.0,,25.9,1.0,2.3,1.0,,,,117.1,1.0,,,12.0,,,,134.9,2.0,2019
-107.55,53.367,SPIRITWOOD WEST,4067723,SK,13.7,0.0,,29.1,0.0,0.1,0.0,,,,24.9,0.0,,,6.0,,,,141.1,7.1,2019
-105.841,59.25,STONY RAPIDS,4067799,SK,12.7,1.0,,26.0,1.0,-0.5,1.0,,,,95.1,1.0,,,9.0,,,,162.3,2.6,2019
-106.067,53.917,WASKESIU LAKE,4068559,SK,14.7,1.0,,29.1,1.0,5.0,1.0,,,,44.1,1.0,,,7.0,,,,109.0,9.3,2019
-108.517,54.133,MEADOW LAKE,406N0NM,SK,13.8,2.0,,29.1,2.0,0.0,2.0,,,,18.7,2.0,,,5.0,,,,128.2,5.7,2019
-108.483,59.567,URANIUM CITY (AUT),406QLD0,SK,13.3,0.0,,22.4,0.0,2.3,0.0,,,,54.3,0.0,,,8.0,,,,147.1,0.0,2019
-104.008,53.333,NIPAWIN,4075525,SK,15.3,0.0,,27.9,0.0,2.6,0.0,,,,0.0,15.0,,,0.0,,,,93.4,10.5,2019
-104.0,53.333,NIPAWIN,407N51G,SK,15.2,0.0,,28.2,0.0,2.3,0.0,,,,73.8,1.0,,,11.0,,,,96.2,10.3,2019
-102.317,52.817,HUDSON BAY(AUT),4083324,SK,15.2,1.0,,29.5,1.0,-0.2,1.0,,,,98.2,1.0,,,8.0,,,,101.2,15.9,2019
-99.292,49.276,BALDUR,5010140,MB,16.3,0.0,-2.0,30.0,0.0,1.5,0.0,0.0,0.0,,63.3,0.0,87.0,0.0,8.0,,,,74.4,20.4,2019
-99.952,49.91,BRANDON A,5010481,MB,16.4,0.0,,30.8,0.0,2.9,0.0,0.0,7.0,,84.0,2.0,,,10.0,,,,71.3,22.0,2019
